"Quiz name","Course name","Open the quiz","Number of complete graded first attempts","Total number of complete graded attempts","Average grade of first attempts","Average grade of all attempts","Average grade of last attempts","Average grade of highest graded attempts","Median grade (for highest graded attempt)","Standard deviation (for highest graded attempt)","Score distribution skewness (for highest graded attempt)","Score distribution kurtosis (for highest graded attempt)","Coefficient of internal consistency (for highest graded attempt)","Error ratio (for highest graded attempt)","Standard error (for highest graded attempt)"
"Prelim Exam","IT 12 - Data Communication With Networking","Thursday, 1 June 2017, 2:35 PM",40,40,47.07%,47.07%,47.07%,47.07%,47.14%,12.50%,0.2241,-0.4836,83.16%,41.04%,5.13%
Q#,"Question type","Question name",Attempts,"Facility index","Standard deviation","Random guess score","Intended weight","Effective weight","Discrimination index","Discriminative efficiency"
1,"Multiple choice","A port address in TCP/IP is ______ bits long.",40,30.00%,46.41%,25.00%,1.43%,1.41%,17.36%,21.73%
2,"Multiple choice","A television broadcast is an example of _______ transmission.",40,60.00%,49.61%,25.00%,1.43%,2.01%,37.85%,47.21%
3,"Multiple choice","A _______ connection provides a dedicated link between two devices.",40,82.50%,38.48%,25.00%,1.43%,1.33%,19.90%,31.60%
4,"Multiple choice","An unauthorized user is a network _______ issue.",40,85.00%,36.16%,25.00%,1.43%,1.60%,33.40%,56.70%
5,"Multiple choice","As the data packet moves from the upper to the lower layers, headers are ...",40,10.00%,30.38%,25.00%,1.43%,,-5.20%,-8.63%
6,"Multiple choice","Communication between a computer and a keyboard involves ______________ ...",40,67.50%,47.43%,25.00%,1.43%,1.30%,13.45%,17.46%
7,"Multiple choice","Data flow between two devices can occur in a _______ way.",40,12.50%,33.49%,25.00%,1.43%,1.04%,13.09%,19.87%
8,"Multiple choice","Ethernet uses a ______ physical address that is imprinted on the network ...",40,15.00%,36.16%,25.00%,1.43%,,-13.55%,-19.49%
9,"Multiple choice","Frequency of failure and network recovery time after a failure are measures ...",40,57.50%,50.06%,25.00%,1.43%,2.49%,61.59%,77.16%
10,"Multiple choice","ICMPv6 includes _______.",40,37.50%,49.03%,25.00%,1.43%,1.33%,13.50%,16.78%
11,"Multiple choice","In a ______ connection, two and only two devices are connected by a dedicated...",40,82.50%,38.48%,25.00%,1.43%,1.90%,45.81%,72.80%
12,"Multiple choice","In a ________ connection, three or more devices share a link.",40,12.50%,33.49%,25.00%,1.43%,0.98%,11.33%,17.20%
13,"Multiple choice","In the original ARPANET, _______ were directly connected together.",40,37.50%,49.03%,25.00%,1.43%,,-5.75%,-7.11%
14,"Multiple choice","In the OSI model, as a data packet moves from the lower to the upper layers, ...",40,25.00%,43.85%,25.00%,1.43%,2.04%,45.89%,59.82%
15,"Multiple choice","In the OSI model, encryption and decryption are functions of the ________ layer.",40,37.50%,49.03%,25.00%,1.43%,1.71%,26.36%,33.02%
16,"Multiple choice","In the OSI model, what is the main function of the transport layer?",40,62.50%,49.03%,25.00%,1.43%,1.50%,18.68%,23.96%
17,"Multiple choice","In the OSI model, when data is transmitted from device A to device B, the ...",40,42.50%,50.06%,25.00%,1.43%,1.31%,12.45%,15.26%
18,"Multiple choice","In _______ transmission, the channel capacity is shared by both communicating...",40,80.00%,40.51%,25.00%,1.43%,1.26%,16.20%,24.34%
19,"Multiple choice","Layer 2 lies between the physical layer and the _______ layer.",40,60.00%,49.61%,25.00%,1.43%,2.14%,44.05%,55.59%
