"Quiz name","Course name","Open the quiz","Number of complete graded first attempts","Total number of complete graded attempts","Average grade of first attempts","Average grade of all attempts","Average grade of last attempts","Average grade of highest graded attempts","Median grade (for highest graded attempt)","Standard deviation (for highest graded attempt)","Score distribution skewness (for highest graded attempt)","Score distribution kurtosis (for highest graded attempt)","Coefficient of internal consistency (for highest graded attempt)","Error ratio (for highest graded attempt)","Standard error (for highest graded attempt)"
"Midterm Exam","ITE16 - Multimedia Systems","Friday, 30 June 2017, 9:00 AM",34,34,43.29%,43.29%,43.29%,43.29%,40.00%,13.94%,0.4094,-0.8554,77.03%,47.93%,6.68%
Q#,"Question type","Question name",Attempts,"Facility index","Standard deviation","Random guess score","Intended weight","Effective weight","Discrimination index","Discriminative efficiency"
1,Matching,"Matching Type",34,44.71%,27.99%,10.00%,13.33%,8.42%,76.12%,77.57%
2,Matching,"Select the appropriate term in the second column to complete the sentences.",34,59.12%,28.22%,10.00%,13.33%,8.57%,79.89%,82.75%
3,"Multiple choice","""Unlimited use"" of stock photography may actually impose a limitation on:",34,14.71%,35.95%,20.00%,1.33%,,-13.35%,-19.02%
4,"Multiple choice","A 24-bit image is capable of representing how many different colors?",34,35.29%,48.51%,20.00%,1.33%,0.94%,1.55%,1.82%
5,"Multiple choice","A family of graphic characters that usually includes many type sizes and ...",34,32.35%,47.49%,20.00%,1.33%,,-16.15%,-18.96%
6,"Multiple choice","A GIF image may contain:",34,29.41%,46.25%,20.00%,1.33%,,-17.90%,-20.96%
7,"Multiple choice","A printed page might be presented in which of these orientations?",34,70.59%,46.25%,20.00%,1.33%,2.12%,29.01%,40.52%
8,"Multiple choice","As one story goes, the criterion used to set the length of the sectors and ...",34,50.00%,50.75%,20.00%,1.33%,3.05%,59.14%,72.56%
9,"Multiple choice","Audio recorded at 44.1 kHz (kilohertz), 16-bit stereo is considered:",34,32.35%,47.49%,20.00%,1.33%,1.23%,6.36%,7.45%
10,"Multiple choice","DSP stands for:",34,61.76%,49.33%,20.00%,1.33%,2.35%,34.13%,44.57%
11,"Multiple choice","Dynamic HTML uses _______ to define choices ranging from line height to ...",34,58.82%,49.96%,20.00%,1.33%,,-24.49%,-31.98%
12,"Multiple choice","Each individual measurement of a sound that is stored as digital information ...",34,8.82%,28.79%,20.00%,1.33%,,-5.18%,-9.22%
13,"Multiple choice","Graphic artists designing for print media use vector-drawn objects because:",34,29.41%,46.25%,20.00%,1.33%,2.85%,56.76%,67.23%
14,"Multiple choice","If a DHTML document includes a font face that is not installed on the user's ...",34,76.47%,43.06%,20.00%,1.33%,2.06%,29.77%,44.25%
15,"Multiple choice","In the URL http://www.timestream.com/info/people/biotay/biotay1.html, which ...",34,41.18%,49.96%,20.00%,1.33%,2.23%,29.56%,34.80%
16,"Multiple choice","Interactive multimedia becomes hypermedia when:",34,52.94%,50.66%,20.00%,1.33%,2.01%,22.62%,28.29%
17,"Multiple choice","Intercapping, the practice of placing a capital in the middle of a word, is a...",34,35.29%,48.51%,20.00%,1.33%,,-12.73%,-15.02%
18,"Multiple choice","Multimedia becomes interactive multimedia when:",34,44.12%,50.40%,20.00%,1.33%,2.47%,37.26%,43.97%
19,"Multiple choice","Name the area of memory where data such as text and images is temporarily ...",34,76.47%,43.06%,20.00%,1.33%,2.14%,32.54%,49.30%
20,"Multiple choice","Perhaps the single most significant advance in computer image processing ...",34,20.59%,41.04%,20.00%,1.33%,1.00%,4.35%,5.53%
21,"Multiple choice","Reducing the number of separate measurements of an audio file is called ...",34,47.06%,50.66%,25.00%,1.33%,2.85%,51.09%,61.70%
22,"Multiple choice","Removing blank space or ""dead air"" at the beginning or end of a recording is ...",34,88.24%,32.70%,20.00%,1.33%,2.04%,40.73%,80.48%
23,"Multiple choice","Sequencing software:",34,5.88%,23.88%,20.00%,1.33%,1.01%,12.39%,26.66%
24,"Multiple choice","Some software allows you to begin playing a downloading sound file as soon as...",34,23.53%,43.06%,25.00%,1.33%,2.21%,34.94%,42.91%
25,"Multiple choice","Sound pressure levels (loudness or volume) are measured in _______________.",34,52.94%,50.66%,25.00%,1.33%,3.18%,65.06%,81.49%
26,"Multiple choice","The 3-D process of extending a plane surface some distance, either ...",34,26.47%,44.78%,20.00%,1.33%,2.40%,40.31%,48.86%
27,"Multiple choice","The audio file format introduced by Microsoft and IBM with the introduction ...",34,64.71%,48.51%,25.00%,1.33%,2.65%,45.76%,61.44%
28,"Multiple choice","The branch of physics that studies sound is _______________.",34,41.18%,49.96%,25.00%,1.33%,2.82%,50.70%,59.91%
29,"Multiple choice","The file format that uses a shorthand representation of musical notes and ...",34,50.00%,50.75%,20.00%,1.33%,1.82%,17.59%,21.55%
30,"Multiple choice","The file size of a five-second recording sampled at 22 kHz, 16-bit stereo ...",34,29.41%,46.25%,20.00%,1.33%,1.68%,16.58%,19.54%
31,"Multiple choice","The most common file format for editing sound on the Macintosh is ...",34,38.24%,49.33%,25.00%,1.33%,0.57%,-2.44%,-2.86%
32,"Multiple choice","The primary benefit of the General MIDI over the previous MIDI specification ...",34,5.88%,23.88%,20.00%,1.33%,,-9.48%,-20.49%
