"Quiz name","Course name","Open the quiz","Number of complete graded first attempts","Total number of complete graded attempts","Average grade of first attempts","Average grade of all attempts","Average grade of last attempts","Average grade of highest graded attempts","Median grade (for highest graded attempt)","Standard deviation (for highest graded attempt)","Score distribution skewness (for highest graded attempt)","Score distribution kurtosis (for highest graded attempt)","Coefficient of internal consistency (for highest graded attempt)","Error ratio (for highest graded attempt)","Standard error (for highest graded attempt)"
"Prelim Exam","ITE16 - Multimedia Systems","Friday, 2 June 2017, 8:55 AM",72,72,57.03%,57.03%,57.03%,57.03%,56.00%,10.74%,0.0083,-0.9627,69.56%,55.18%,5.92%
Q#,"Question type","Question name",Attempts,"Facility index","Standard deviation","Random guess score","Intended weight","Effective weight","Discrimination index","Discriminative efficiency"
1,"Multiple choice","A browser is used to view:",72,94.44%,23.07%,20.00%,2.00%,1.42%,15.22%,34.69%
2,"Multiple choice","A collection of programs used to create, broadcast, and receive podcasts.",72,22.22%,41.87%,25.00%,2.00%,1.23%,0.21%,0.29%
3,"Multiple choice","A computer that is configured to play multimedia projects, as contrasted with...",72,19.44%,39.85%,25.00%,2.00%,1.71%,8.99%,12.70%
4,"Multiple choice","A high-speed serial technology for connecting peripherals to a computer; ...",72,45.83%,50.18%,25.00%,2.00%,2.52%,19.34%,23.01%
5,"Multiple choice","A program used to capture, edit and manipulate video images, add effects, ...",72,90.28%,29.83%,25.00%,2.00%,0.88%,0.24%,0.45%
6,"Multiple choice","A project that is shipped or sold to consumers or end users, typically in a ...",72,20.83%,40.90%,25.00%,2.00%,,-8.05%,-11.09%
7,"Multiple choice","A small piece of software that adds features to or enhances a larger piece of...",72,34.72%,47.94%,25.00%,2.00%,2.23%,14.38%,17.47%
8,"Multiple choice","A small removable storage medium used to store data in digital input devices ...",72,86.11%,34.83%,25.00%,2.00%,2.23%,25.74%,41.64%
9,"Multiple choice","A solid-state memory that can be erased and reprogrammed; gets its name ...",72,73.61%,44.38%,25.00%,2.00%,2.80%,32.15%,42.99%
10,"Multiple choice","A storage device that encodes data as microscopic magnetized needles on the ...",72,72.22%,45.10%,25.00%,2.00%,2.34%,18.88%,25.30%
11,"Multiple choice","A storage device that records data by burning microscopic holes in the ...",72,68.06%,46.95%,25.00%,2.00%,2.11%,12.57%,16.04%
12,"Multiple choice","A unit of storage measuring roughly one billion bytes.",72,55.56%,50.04%,25.00%,2.00%,2.69%,23.51%,28.42%
13,"Multiple choice","A unit of storage measuring roughly one million bytes.",72,54.17%,50.18%,25.00%,2.00%,0.68%,-7.26%,-8.75%
14,"Multiple choice","A unit of storage measuring roughly one trillion bytes.",72,77.78%,41.87%,25.00%,2.00%,2.53%,26.82%,37.04%
15,"Multiple choice","A _____ multimedia project allows users to sit back and watch it just as they...",72,47.22%,50.27%,25.00%,2.00%,1.52%,0.83%,1.00%
